latitude,longitude,species
39.58047166,-105.5920497,Ochotona princeps
40.267271,-105.598307,Ochotona princeps
40.102897,-105.598952,Ochotona princeps
40.506813,-105.599287,Ochotona princeps
40.258991,-105.601051,Ochotona princeps
39.636587,-105.603588,Ochotona princeps
39.642386,-105.604343,Ochotona princeps
40.2683,-105.61148,Ochotona princeps
40.510481,-105.612657,Ochotona princeps
40.50987,-105.613198,Ochotona princeps
40.504026,-105.616128,Ochotona princeps
38.076947,-105.621808,Ochotona princeps
40.507906,-105.622947,Ochotona princeps
40.501964,-105.623387,Ochotona princeps
39.581483,-105.630139,Ochotona princeps
39.595535,-105.637496,Ochotona princeps
39.584947,-105.637775,Ochotona princeps
39.582982,-105.637987,Ochotona princeps
39.585817,-105.638083,Ochotona princeps
39.581226,-105.639675,Ochotona princeps
40.369105,-105.63991,Ochotona princeps
39.587645,-105.642042,Ochotona princeps
39.587614,-105.642782,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.58851625,-105.6431602,Ochotona princeps
39.5886,-105.6433,Ochotona princeps
39.5886,-105.6433,Ochotona princeps
39.588461,-105.643333,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.589905,-105.64379,Ochotona princeps
39.588301,-105.643829,Ochotona princeps
39.588301,-105.643829,Ochotona princeps
39.592554,-105.643892,Ochotona princeps
35.9624964,-105.6445226,Ochotona princeps
39.593373,-105.650723,Ochotona princeps
39.592315,-105.651121,Ochotona princeps
40.303382,-105.659009,Ochotona princeps
40.0112,-105.659973,Ochotona princeps
39.933442,-105.661946,Ochotona princeps
39.933442,-105.661946,Ochotona princeps
39.933442,-105.661946,Ochotona princeps
39.933442,-105.661946,Ochotona princeps
39.974632,-105.662881,Ochotona princeps
40.400723,-105.66337,Ochotona princeps
40.279625,-105.667708,Ochotona princeps
39.582442,-105.668653,Ochotona princeps
40.391731,-105.669594,Ochotona princeps
40.014448,-105.66982,Ochotona princeps
40.314677,-105.670531,Ochotona princeps
40.289559,-105.671133,Ochotona princeps
40.315348,-105.671556,Ochotona princeps
40.322697,-105.672546,Ochotona princeps
40.322638,-105.672822,Ochotona princeps
40.315194,-105.672894,Ochotona princeps
40.289768,-105.673126,Ochotona princeps
40.3227,-105.6737,Ochotona princeps
40.314619,-105.676719,Ochotona princeps
40.313922,-105.676973,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.932969,-105.683186,Ochotona princeps
39.592258,-105.684403,Ochotona princeps
39.590579,-105.687581,Ochotona princeps
40.394018,-105.689617,Ochotona princeps
40.309023,-105.694199,Ochotona princeps
40.39415,-105.697804,Ochotona princeps
