"lon","lat","species","B01","B14","B05","B04","B06","B12","B13"
146.66772,-42.71529,"Eucalyptus.regnans",10.3999996185303,50,21.8999996185303,3.5,1.39999997615814,1050,122
146.3,-37.92,"Eucalyptus.regnans",10.8000001907349,69,22.8999996185303,4,2,1393,150
146.04,-38.27,"Eucalyptus.regnans",12.3000001907349,51,23.6000003814697,3.59999990463257,4,1137,124
145.65,-37.7,"Eucalyptus.regnans",10,67,21.5,4.09999990463257,2.20000004768372,1617,188
145.68,-37.71,"Eucalyptus.regnans",8.89999961853027,69,20.2999992370605,4.19999980926514,1.39999997615814,1726,206
146.8833,-36.7278,"Eucalyptus.regnans",13.8000001907349,50,29.7000007629395,5,1.79999995231628,1164,148
145.8833,-37.5667,"Eucalyptus.regnans",10.8000001907349,55,23.7000007629395,4.30000019073486,1.89999997615814,1484,189
146.0417785,-41.17244607,"Eucalyptus.regnans",10.6000003814697,47,19.8999996185303,3.09999990463257,3.09999990463257,1197,158
146.9926191,-43.36804578,"Eucalyptus.regnans",9.69999980926514,72,18.2999992370605,2.70000004768372,3.09999990463257,1257,133
146.8594015,-43.49249058,"Eucalyptus.regnans",11.3999996185303,68,19.7999992370605,2.59999990463257,4,1272,143
146.771272,-41.30307161,"Eucalyptus.regnans",10.1000003814697,44,20.8999996185303,3.5,1.60000002384186,1169,149
146.681812,-43.11159969,"Eucalyptus.regnans",10.8999996185303,75,21.2000007629395,3.09999990463257,2.20000004768372,1481,172
146.1136538,-41.56083161,"Eucalyptus.regnans",9.89999961853027,57,20.5,3.29999995231628,1.60000002384186,1515,196
146.302993,-41.58519385,"Eucalyptus.regnans",9.19999980926514,54,20.1000003814697,3.40000009536743,0.800000011920929,1397,178
146.3783043,-42.22213353,"Eucalyptus.regnans",7.80000019073486,58,18.8999996185303,3.40000009536743,-0.5,1223,134
147.7803424,-41.20751394,"Eucalyptus.regnans",10.3000001907349,59,20.2999992370605,3.29999995231628,2.09999990463257,1405,173
148.0304555,-41.32075507,"Eucalyptus.regnans",11.8000001907349,53,21.5,3.29999995231628,2.90000009536743,1047,103
148.0029678,-41.23452472,"Eucalyptus.regnans",11.3999996185303,56,21,3.20000004768372,3,1163,122
147.6289419,-41.2285278,"Eucalyptus.regnans",11.1000003814697,49,21.6000003814697,3.40000009536743,2.40000009536743,1238,158
147.8099266,-41.19812171,"Eucalyptus.regnans",10.3999996185303,58,20.3999996185303,3.29999995231628,2.20000004768372,1392,169
146.3778215,-42.22195078,"Eucalyptus.regnans",7.80000019073486,58,18.8999996185303,3.40000009536743,-0.5,1223,134
147.8009097,-42.44833505,"Eucalyptus.regnans",9.69999980926514,42,19.2999992370605,3.20000004768372,1.79999995231628,709,72
146.5174479,-42.75496007,"Eucalyptus.regnans",10,63,21.1000003814697,3.29999995231628,1.60000002384186,1396,161
146.3053688,-41.30680578,"Eucalyptus.regnans",11.5,44,21.2999992370605,3.20000004768372,3,1064,135
147.9765935,-41.24231791,"Eucalyptus.regnans",11.3000001907349,56,21,3.29999995231628,2.79999995231628,1182,127
147.9396542,-41.24622839,"Eucalyptus.regnans",11.6000003814697,53,21.3999996185303,3.29999995231628,2.90000009536743,1154,127
146.7982408,-42.91393285,"Eucalyptus.regnans",9.39999961853027,57,20,3.20000004768372,1.60000002384186,1065,120
146.2945624,-41.58820489,"Eucalyptus.regnans",8.80000019073486,56,19.7000007629395,3.40000009536743,0.600000023841858,1468,189
148.1040135,-41.24026582,"Eucalyptus.regnans",12.3999996185303,54,21.6000003814697,3.09999990463257,3.79999995231628,1097,108
146.8928155,-43.20032938,"Eucalyptus.regnans",10.8000001907349,63,20.7000007629395,3,2.40000009536743,1129,125
147.3156213,-41.20459081,"Eucalyptus.regnans",11.5,41,22.2000007629395,3.5,2.70000004768372,1078,133
147.3168379,-41.20954181,"Eucalyptus.regnans",11.5,41,22.2000007629395,3.5,2.70000004768372,1078,133
147.4556396,-41.27213105,"Eucalyptus.regnans",11.3000001907349,46,22.2000007629395,3.5,2.29999995231628,1154,150
147.6366053,-41.21902748,"Eucalyptus.regnans",11.1000003814697,49,21.6000003814697,3.40000009536743,2.5,1239,158
146.8991492,-43.09128629,"Eucalyptus.regnans",9.89999961853027,62,19.8999996185303,3.09999990463257,2,1071,118
146.92347,-43.08726192,"Eucalyptus.regnans",10,62,20,3.09999990463257,2.09999990463257,1059,116
147.4405164,-41.4376604,"Eucalyptus.regnans",9.30000019073486,52,20.2999992370605,3.59999990463257,0.699999988079071,1222,155
146.3083517,-41.60017821,"Eucalyptus.regnans",8,59,18.7999992370605,3.40000009536743,0.100000001490116,1586,203
146.3125418,-41.60110406,"Eucalyptus.regnans",8.39999961853027,57,19.2999992370605,3.40000009536743,0.400000005960464,1504,193
146.3143608,-41.59931348,"Eucalyptus.regnans",8.39999961853027,57,19.2999992370605,3.40000009536743,0.400000005960464,1504,193
146.3125562,-41.59975307,"Eucalyptus.regnans",8.39999961853027,57,19.2999992370605,3.40000009536743,0.400000005960464,1504,193
146.3083469,-41.60062854,"Eucalyptus.regnans",8,59,18.7999992370605,3.40000009536743,0.100000001490116,1586,203
147.884488,-43.06954245,"Eucalyptus.regnans",12,54,19.3999996185303,2.5,5.59999990463257,912,102
147.8892247,-43.05734911,"Eucalyptus.regnans",11.8000001907349,54,19.2999992370605,2.5,5.5,916,101
146.5574,-42.46333726,"Eucalyptus.regnans",9.19999980926514,50,20.6000003814697,3.5,0.400000005960464,1091,122
147.8525069,-42.71047814,"Eucalyptus.regnans",11.5,48,20.2999992370605,2.90000009536743,3.70000004768372,789,78
147.2574577,-42.920485,"Eucalyptus.regnans",9.5,67,19,3,2.20000004768372,1071,107
146.9401703,-42.85592094,"Eucalyptus.regnans",8.89999961853027,55,19.2000007629395,3.20000004768372,1.39999997615814,977,104
146.5246795,-42.3024485,"Eucalyptus.regnans",8.19999980926514,51,19.6000003814697,3.40000009536743,-0.300000011920929,1054,114
147.7776225,-42.48271767,"Eucalyptus.regnans",10.8999996185303,42,20.7999992370605,3.20000004768372,2.5,685,66
146.5634189,-42.47236625,"Eucalyptus.regnans",9.10000038146973,50,20.3999996185303,3.40000009536743,0.400000005960464,1091,122
146.840671,-43.46635345,"Eucalyptus.regnans",10.1000003814697,76,18.3999996185303,2.59999990463257,3.5,1388,151
146.8443901,-43.46230662,"Eucalyptus.regnans",10.6000003814697,73,19.1000003814697,2.59999990463257,3.59999990463257,1359,150
148.0454614,-41.38493323,"Eucalyptus.regnans",11.6999998092651,50,21.7000007629395,3.29999995231628,2.5,936,87
148.0424071,-41.38090759,"Eucalyptus.regnans",11.5,52,21.3999996185303,3.29999995231628,2.40000009536743,955,89
148.0204193,-41.38966177,"Eucalyptus.regnans",10.5,57,20.5,3.29999995231628,1.89999997615814,1028,100
148.012006,-41.38703384,"Eucalyptus.regnans",9.69999980926514,60,19.6000003814697,3.29999995231628,1.60000002384186,1141,118
145.85,-37.81,"Eucalyptus.regnans",10.3000001907349,68,22.2000007629395,4,2,1606,181
145.83,-37.8,"Eucalyptus.regnans",10.3000001907349,67,22.2000007629395,4,2.09999990463257,1604,181
146.41,-38.37,"Eucalyptus.regnans",13.1999998092651,45,24.2000007629395,3.59999990463257,4.80000019073486,1063,115
146.38,-38.96,"Eucalyptus.regnans",12.3000001907349,48,20.6000003814697,3,6.40000009536743,1232,137
146.38,-38.95,"Eucalyptus.regnans",12.6000003814697,46,21,3,6.69999980926514,1186,132
145.59,-37.72,"Eucalyptus.regnans",12.3999996185303,60,24.7999992370605,4,3.5,1316,143
145.43,-37.92,"Eucalyptus.regnans",13.3000001907349,55,25.2000007629395,3.79999995231628,4.40000009536743,1095,113
145.41,-37.92,"Eucalyptus.regnans",13,57,24.6000003814697,3.70000004768372,4.40000009536743,1133,117
146,-38.2,"Eucalyptus.regnans",14,43,26.1000003814697,3.79999995231628,4.30000019073486,948,107
146.35,-37.83,"Eucalyptus.regnans",8.80000019073486,64,20.5,4.09999990463257,0.600000023841858,1315,141
145.4,-37.87,"Eucalyptus.regnans",13.1999998092651,55,25.2000007629395,3.79999995231628,4.40000009536743,1119,117
146.35,-37.92,"Eucalyptus.regnans",10.6999998092651,68,22.8999996185303,3.90000009536743,2,1346,144
146.29,-37.93,"Eucalyptus.regnans",12.3000001907349,58,24.6000003814697,3.90000009536743,3,1097,118
146.28,-37.89,"Eucalyptus.regnans",10.6000003814697,70,22.8999996185303,4,1.79999995231628,1455,158
146.26,-37.89,"Eucalyptus.regnans",11.8999996185303,60,24.3999996185303,3.90000009536743,2.5,1167,127
146.25,-37.91,"Eucalyptus.regnans",12.3999996185303,57,24.7999992370605,3.90000009536743,2.90000009536743,1090,118
146.26,-37.88,"Eucalyptus.regnans",11.1000003814697,68,23.7000007629395,4,2,1394,152
145.61,-37.71,"Eucalyptus.regnans",10.8999996185303,65,22.5,4,2.90000009536743,1499,166
146.17,-37.81,"Eucalyptus.regnans",10.8999996185303,71,23.7999992370605,4.09999990463257,1.60000002384186,1595,176
146.18,-37.81,"Eucalyptus.regnans",9.39999961853027,68,21.5,4.09999990463257,1,1526,168
146.19,-37.8,"Eucalyptus.regnans",9.80000019073486,69,22.2000007629395,4.09999990463257,1.10000002384186,1538,170
146.17,-37.84,"Eucalyptus.regnans",11.5,63,24.2999992370605,4,2,1301,144
146.17,-37.84,"Eucalyptus.regnans",11.5,63,24.2999992370605,4,2,1301,144
145.94,-37.92,"Eucalyptus.regnans",11.8999996185303,60,24.2000007629395,3.79999995231628,2.59999990463257,1247,137
145.35,-37.8833,"Eucalyptus.regnans",12.6000003814697,60,23.8999996185303,3.70000004768372,4.40000009536743,1167,120
146.46772,-42.43195,"Eucalyptus.regnans",8.69999980926514,56,19.8999996185303,3.40000009536743,0.300000011920929,1242,137
146.9581467,-43.29546156,"Eucalyptus.regnans",10.5,68,19.6000003814697,2.79999995231628,3,1208,130
146.713881,-41.26069677,"Eucalyptus.regnans",11.6000003814697,36,21.7999992370605,3.40000009536743,2.90000009536743,936,116
147.9487046,-41.14325844,"Eucalyptus.regnans",11,57,20.3999996185303,3.20000004768372,3,1291,144
147.690621,-41.32978142,"Eucalyptus.regnans",10.1999998092651,54,20.8999996185303,3.5,1.60000002384186,1270,163
147.805053,-41.17996008,"Eucalyptus.regnans",10.8000001907349,55,20.7000007629395,3.29999995231628,2.59999990463257,1330,160
146.7092625,-41.26309028,"Eucalyptus.regnans",11.6999998092651,36,21.8999996185303,3.40000009536743,3,904,112
146.9582301,-43.29969376,"Eucalyptus.regnans",10.5,68,19.6000003814697,2.79999995231628,3,1208,130
147.9996077,-41.11565126,"Eucalyptus.regnans",10.6999998092651,59,20,3.20000004768372,3,1309,144
146.92966,-43.27140519,"Eucalyptus.regnans",10.3999996185303,69,19.7000007629395,2.90000009536743,2.70000004768372,1234,132
146.7109266,-43.06250994,"Eucalyptus.regnans",10.3000001907349,70,20.7000007629395,3.09999990463257,2,1314,151
146.6870594,-43.11899818,"Eucalyptus.regnans",10.1000003814697,75,20.2000007629395,3.09999990463257,2.09999990463257,1446,165
146.7245151,-41.28110736,"Eucalyptus.regnans",11.3000001907349,37,21.7000007629395,3.40000009536743,2.5,982,123
147.6742953,-41.25304254,"Eucalyptus.regnans",10.6999998092651,52,21.2000007629395,3.40000009536743,2.09999990463257,1291,165
148.0385197,-41.36959335,"Eucalyptus.regnans",10.8999996185303,55,20.7999992370605,3.29999995231628,2.20000004768372,1004,96
146.7580192,-42.92322032,"Eucalyptus.regnans",9.69999980926514,58,20.3999996185303,3.20000004768372,1.60000002384186,1105,126
147.9331008,-41.13781003,"Eucalyptus.regnans",10.6000003814697,59,20.1000003814697,3.20000004768372,2.79999995231628,1353,153
146.502713,-42.58009858,"Eucalyptus.regnans",7.40000009536743,66,18,3.29999995231628,-0.100000001490116,1411,150
147.4755781,-41.24572064,"Eucalyptus.regnans",10.8000001907349,48,21.5,3.5,2.09999990463257,1232,160
147.4756682,-41.24826948,"Eucalyptus.regnans",10.8000001907349,48,21.5,3.5,2.09999990463257,1232,160
147.4762813,-41.23736748,"Eucalyptus.regnans",11.6999998092651,45,22.3999996185303,3.5,2.70000004768372,1123,143
147.1736594,-42.97687106,"Eucalyptus.regnans",11,58,20.8999996185303,3.09999990463257,2.70000004768372,914,99
146.6941715,-42.67888628,"Eucalyptus.regnans",9.80000019073486,49,21.2000007629395,3.40000009536743,1.10000002384186,1026,117
147.0168847,-42.92117849,"Eucalyptus.regnans",8.60000038146973,61,18.5,3.09999990463257,1.39999997615814,1046,108
147.6481827,-41.24373435,"Eucalyptus.regnans",10.3999996185303,54,20.8999996185303,3.40000009536743,2,1330,171
147.7252438,-41.08923998,"Eucalyptus.regnans",11.6999998092651,46,21.3999996185303,3.20000004768372,3.40000009536743,1163,137
147.695393,-41.13761665,"Eucalyptus.regnans",11.3999996185303,49,21.3999996185303,3.29999995231628,3,1231,151
147.6839186,-41.18002249,"Eucalyptus.regnans",11.1999998092651,50,21.3999996185303,3.40000009536743,2.70000004768372,1251,156
146.8733667,-43.20075975,"Eucalyptus.regnans",10.6000003814697,67,20.3999996185303,3,2.40000009536743,1210,133
146.8396225,-43.16064605,"Eucalyptus.regnans",10,68,20,3,2.20000004768372,1226,135
146.7518056,-43.12762153,"Eucalyptus.regnans",9.80000019073486,70,19.7999992370605,3,2.09999990463257,1290,144
146.9743562,-43.06440301,"Eucalyptus.regnans",10.1000003814697,62,20.2000007629395,3.09999990463257,2.09999990463257,1033,113
146.315445,-41.26511543,"Eucalyptus.regnans",11.6999998092651,42,21.2999992370605,3.20000004768372,3.20000004768372,1024,129
146.30656,-41.31163207,"Eucalyptus.regnans",11.5,44,21.2999992370605,3.20000004768372,3,1064,135
148.034667,-41.23190223,"Eucalyptus.regnans",11.3999996185303,56,20.8999996185303,3.20000004768372,3.09999990463257,1159,119
147.3752759,-41.37447837,"Eucalyptus.regnans",8.80000019073486,56,19.6000003814697,3.59999990463257,0.600000023841858,1345,168
147.6807749,-41.25633728,"Eucalyptus.regnans",11.1000003814697,50,21.6000003814697,3.40000009536743,2.29999995231628,1237,157
147.9355688,-41.36128878,"Eucalyptus.regnans",10,59,20.1000003814697,3.40000009536743,1.70000004768372,1190,132
147.6161046,-41.27183453,"Eucalyptus.regnans",9.80000019073486,58,20.2000007629395,3.5,1.5,1420,182
147.987856,-41.13421874,"Eucalyptus.regnans",11,57,20.3999996185303,3.20000004768372,3.09999990463257,1267,138
146.926704,-43.27014268,"Eucalyptus.regnans",10.3999996185303,69,19.7000007629395,2.90000009536743,2.70000004768372,1234,132
146.8618379,-43.18237664,"Eucalyptus.regnans",10.8000001907349,65,20.7999992370605,3,2.20000004768372,1174,131
147.4465813,-41.4318722,"Eucalyptus.regnans",9,54,20,3.59999990463257,0.699999988079071,1276,160
147.8539749,-42.72847811,"Eucalyptus.regnans",10.6999998092651,51,19.3999996185303,2.90000009536743,3.29999995231628,844,82
147.480859,-42.49740549,"Eucalyptus.regnans",9.89999961853027,40,20.5,3.40000009536743,1.5,668,70
147.813846,-42.74227845,"Eucalyptus.regnans",10.8000001907349,50,19.6000003814697,2.90000009536743,3.40000009536743,838,82
147.1568134,-41.13150158,"Eucalyptus.regnans",11.8999996185303,37,21.8999996185303,3.40000009536743,3.40000009536743,983,117
147.7181299,-41.09198694,"Eucalyptus.regnans",11.6999998092651,45,21.5,3.20000004768372,3.5,1149,136
147.7121866,-41.09292463,"Eucalyptus.regnans",12,43,21.7999992370605,3.20000004768372,3.59999990463257,1081,127
